
19_7_2024:12_5_21: Initalizeing task schedular
19_7_2024:12_5_21: No module named 'bs4'
19_7_2024:12_5_21: Successfully imported betfair dependencys
19_7_2024:12_5_21: Successfully imported betm dependencys
19_7_2024:12_5_21: Successfully imported boombet dependencys
19_7_2024:12_5_21: Successfully imported diamondbet dependencys
19_7_2024:12_5_21: Successfully imported ladbrokes dependencys
19_7_2024:12_5_21: Successfully imported neds dependencys
19_7_2024:12_5_21: Successfully imported palmerbet dependencys
19_7_2024:12_5_21: Successfully imported playup dependencys
19_7_2024:12_5_21: Successfully imported pointsbet dependencys
19_7_2024:12_5_21: Successfully imported sportsbett dependencys
19_7_2024:12_5_21: Successfully imported tab dependencys
19_7_2024:12_5_21: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:12_5_21: starting multiTask on Arbie.
19_7_2024:12_5_48: multiTask on Arbie succeeded.
19_7_2024:13_1_13: Initalizeing task schedular
19_7_2024:13_1_14: No module named 'bs4'
19_7_2024:13_1_14: Successfully imported betfair dependencys
19_7_2024:13_1_14: Successfully imported betm dependencys
19_7_2024:13_1_14: Successfully imported boombet dependencys
19_7_2024:13_1_14: Successfully imported diamondbet dependencys
19_7_2024:13_1_14: Successfully imported ladbrokes dependencys
19_7_2024:13_1_14: Successfully imported neds dependencys
19_7_2024:13_1_14: Successfully imported palmerbet dependencys
19_7_2024:13_1_14: Successfully imported playup dependencys
19_7_2024:13_1_14: Successfully imported pointsbet dependencys
19_7_2024:13_1_14: Successfully imported sportsbett dependencys
19_7_2024:13_1_14: Successfully imported tab dependencys
19_7_2024:13_1_14: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:13_1_14: starting multiTask on Arbie.
19_7_2024:13_1_42: multiTask on Arbie succeeded.
19_7_2024:13_10_42: Initalizeing task schedular
19_7_2024:13_10_42: No module named 'bs4'
19_7_2024:13_10_42: Successfully imported betfair dependencys
19_7_2024:13_10_42: Successfully imported betm dependencys
19_7_2024:13_10_42: Successfully imported boombet dependencys
19_7_2024:13_10_42: Successfully imported diamondbet dependencys
19_7_2024:13_10_42: Successfully imported ladbrokes dependencys
19_7_2024:13_10_42: Successfully imported neds dependencys
19_7_2024:13_10_42: Successfully imported palmerbet dependencys
19_7_2024:13_10_42: Successfully imported playup dependencys
19_7_2024:13_10_42: Successfully imported pointsbet dependencys
19_7_2024:13_10_42: Successfully imported sportsbett dependencys
19_7_2024:13_10_42: Successfully imported tab dependencys
19_7_2024:13_10_42: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:13_10_42: starting multiTask on Arbie.
19_7_2024:13_11_10: multiTask on Arbie succeeded.
19_7_2024:13_11_27: too many values to unpack (expected 2)
